------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to bbr
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 34734 (icwnd/mss/irtt=14/1448/1713)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 41234 (icwnd/mss/irtt=14/1448/3260)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 35622 (icwnd/mss/irtt=14/1448/4561)
[ ID] Interval       Transfer     Bandwidth
[  3] 4.1000-4.2000 sec  0.341 GBytes  3.41 GBytes/sec
[  2] 4.2000-4.3000 sec  0.521 GBytes  5.21 GBytes/sec
[  3] 4.2000-4.3000 sec  0.322 GBytes  3.22 GBytes/sec
[  1] 4.2000-4.3000 sec  0.312 GBytes  3.12 GBytes/sec
[  2] 4.3000-4.4000 sec  0.525 GBytes  5.25 GBytes/sec
[  3] 4.3000-4.4000 sec  0.343 GBytes  3.43 GBytes/sec
[  1] 4.3000-4.4000 sec  0.355 GBytes  3.55 GBytes/sec
[  2] 4.4000-4.5000 sec  0.563 GBytes  5.63 GBytes/sec
[  3] 4.4000-4.5000 sec  0.330 GBytes  3.30 GBytes/sec
[  1] 4.4000-4.5000 sec  0.327 GBytes  3.27 GBytes/sec
[  2] 4.5000-4.6000 sec  0.589 GBytes  5.89 GBytes/sec
[  3] 4.5000-4.6000 sec  0.310 GBytes  3.10 GBytes/sec
[  1] 4.5000-4.6000 sec  0.336 GBytes  3.36 GBytes/sec
[  1] 4.6000-4.7000 sec  0.345 GBytes  3.45 GBytes/sec
[  2] 4.6000-4.7000 sec  0.443 GBytes  4.43 GBytes/sec
[  3] 4.6000-4.7000 sec  0.305 GBytes  3.05 GBytes/sec
[  2] 4.7000-4.8000 sec  0.558 GBytes  5.58 GBytes/sec
[  3] 4.7000-4.8000 sec  0.366 GBytes  3.66 GBytes/sec
[  1] 4.7000-4.8000 sec  0.331 GBytes  3.31 GBytes/sec
[  2] 4.8000-4.9000 sec  0.546 GBytes  5.46 GBytes/sec
[  3] 4.8000-4.9000 sec  0.331 GBytes  3.31 GBytes/sec
[  1] 4.8000-4.9000 sec  0.333 GBytes  3.33 GBytes/sec
[  2] 4.9000-5.0000 sec  0.526 GBytes  5.26 GBytes/sec
[  3] 4.9000-4.9977 sec  0.306 GBytes  3.14 GBytes/sec
[  3] 0.0000-4.9977 sec  18.0 GBytes  3.60 GBytes/sec
[  2] 0.0000-5.0006 sec  22.9 GBytes  4.58 GBytes/sec
[  1] 4.9000-5.0000 sec  0.299 GBytes  2.99 GBytes/sec
[  1] 0.0000-5.0034 sec  21.0 GBytes  4.20 GBytes/sec
