------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to vegas
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 42550 (icwnd/mss/irtt=14/1448/2725)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 55726 (icwnd/mss/irtt=14/1448/4643)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 58116 (icwnd/mss/irtt=14/1448/4774)
[ ID] Interval       Transfer     Bandwidth
[  3] 3.8000-3.9000 sec  0.803 GBytes  8.03 GBytes/sec
[  1] 3.8000-3.9000 sec  0.847 GBytes  8.47 GBytes/sec
[  2] 3.8000-3.9000 sec  0.978 GBytes  9.78 GBytes/sec
[  3] 3.9000-4.0000 sec  0.781 GBytes  7.81 GBytes/sec
[  1] 3.9000-4.0000 sec  0.821 GBytes  8.21 GBytes/sec
[  2] 3.9000-4.0000 sec  0.910 GBytes  9.10 GBytes/sec
[  3] 4.0000-4.1000 sec  0.712 GBytes  7.12 GBytes/sec
[  1] 4.0000-4.1000 sec  0.738 GBytes  7.38 GBytes/sec
[  2] 4.0000-4.1000 sec  0.871 GBytes  8.71 GBytes/sec
[  1] 4.1000-4.2000 sec  0.789 GBytes  7.89 GBytes/sec
[  2] 4.1000-4.2000 sec  0.888 GBytes  8.88 GBytes/sec
[  3] 4.1000-4.2000 sec  0.772 GBytes  7.72 GBytes/sec
[  1] 4.2000-4.3000 sec  0.832 GBytes  8.32 GBytes/sec
[  3] 4.2000-4.3000 sec  0.814 GBytes  8.14 GBytes/sec
[  2] 4.2000-4.3000 sec  1.00 GBytes  10.0 GBytes/sec
[  3] 4.3000-4.4000 sec  0.771 GBytes  7.71 GBytes/sec
[  1] 4.3000-4.4000 sec  0.825 GBytes  8.25 GBytes/sec
[  2] 4.3000-4.4000 sec  0.863 GBytes  8.63 GBytes/sec
[  3] 4.4000-4.5000 sec  0.780 GBytes  7.80 GBytes/sec
[  1] 4.4000-4.5000 sec  0.825 GBytes  8.25 GBytes/sec
[  2] 4.4000-4.5000 sec  0.872 GBytes  8.72 GBytes/sec
[  3] 4.5000-4.6000 sec  0.771 GBytes  7.71 GBytes/sec
[  1] 4.5000-4.6000 sec  0.788 GBytes  7.88 GBytes/sec
[  2] 4.5000-4.6000 sec  0.894 GBytes  8.94 GBytes/sec
[  1] 4.6000-4.7000 sec  0.810 GBytes  8.10 GBytes/sec
[  2] 4.6000-4.7000 sec  0.905 GBytes  9.05 GBytes/sec
[  3] 4.6000-4.7000 sec  0.795 GBytes  7.95 GBytes/sec
[  3] 4.7000-4.8000 sec  0.778 GBytes  7.78 GBytes/sec
[  1] 4.7000-4.8000 sec  0.801 GBytes  8.01 GBytes/sec
[  2] 4.7000-4.8000 sec  0.885 GBytes  8.85 GBytes/sec
[  3] 4.8000-4.9000 sec  0.808 GBytes  8.08 GBytes/sec
[  1] 4.8000-4.9000 sec  0.824 GBytes  8.24 GBytes/sec
[  2] 4.8000-4.9000 sec  0.945 GBytes  9.45 GBytes/sec
[  3] 4.9000-4.9995 sec  0.824 GBytes  8.28 GBytes/sec
[  3] 0.0000-4.9995 sec  38.0 GBytes  7.60 GBytes/sec
[  2] 4.9000-5.0000 sec  0.898 GBytes  8.98 GBytes/sec
[  1] 4.9000-4.9993 sec  0.826 GBytes  8.32 GBytes/sec
[  1] 0.0000-4.9993 sec  39.2 GBytes  7.85 GBytes/sec
[  2] 0.0000-5.0015 sec  44.3 GBytes  8.87 GBytes/sec
