------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to cubic
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 38326 (icwnd/mss/irtt=14/1448/478)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 45304 (icwnd/mss/irtt=14/1448/1119)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 56996 (icwnd/mss/irtt=14/1448/2083)
[ ID] Interval       Transfer     Bandwidth
[  2] 4.2000-4.3000 sec  0.808 GBytes  8.08 GBytes/sec
[  1] 4.3000-4.4000 sec  1.01 GBytes  10.1 GBytes/sec
[  3] 4.3000-4.4000 sec  0.814 GBytes  8.14 GBytes/sec
[  2] 4.3000-4.4000 sec  0.816 GBytes  8.16 GBytes/sec
[  3] 4.4000-4.5000 sec  0.755 GBytes  7.55 GBytes/sec
[  1] 4.4000-4.5000 sec  0.976 GBytes  9.76 GBytes/sec
[  2] 4.4000-4.5000 sec  0.777 GBytes  7.77 GBytes/sec
[  3] 4.5000-4.6000 sec  0.787 GBytes  7.87 GBytes/sec
[  1] 4.5000-4.6000 sec  0.877 GBytes  8.77 GBytes/sec
[  2] 4.5000-4.6000 sec  0.781 GBytes  7.81 GBytes/sec
[  3] 4.6000-4.7000 sec  0.786 GBytes  7.86 GBytes/sec
[  1] 4.6000-4.7000 sec  0.963 GBytes  9.63 GBytes/sec
[  2] 4.6000-4.7000 sec  0.804 GBytes  8.04 GBytes/sec
[  1] 4.7000-4.8000 sec  1.06 GBytes  10.6 GBytes/sec
[  2] 4.7000-4.8000 sec  0.817 GBytes  8.17 GBytes/sec
[  3] 4.7000-4.8000 sec  0.808 GBytes  8.08 GBytes/sec
[  3] 4.8000-4.9000 sec  0.802 GBytes  8.02 GBytes/sec
[  1] 4.8000-4.9000 sec  1.04 GBytes  10.4 GBytes/sec
[  2] 4.8000-4.9000 sec  0.797 GBytes  7.97 GBytes/sec
[  3] 4.9000-5.0000 sec  0.802 GBytes  8.02 GBytes/sec
[  1] 4.9000-5.0000 sec  0.940 GBytes  9.40 GBytes/sec
[  2] 4.9000-5.0000 sec  0.803 GBytes  8.03 GBytes/sec
[  3] 0.0000-5.0039 sec  39.7 GBytes  7.94 GBytes/sec
[  2] 0.0000-5.0004 sec  40.5 GBytes  8.09 GBytes/sec
[  1] 0.0000-5.0005 sec  47.9 GBytes  9.58 GBytes/sec
